SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$00C055,49237,Damage_Hit_Roll,,USED
$00C494,50324,Get_Alertness_mod,,USED
$00C67C,50812,Get_ALT_mod,,USED
$00C585,50565,Get_Buff_Debuff_offset,,USED
$008C34,35892,Bit_flags,,USED
$008C36,35894,Bit_flags_even,,USED
$00C05E,49246,Target_modifier,,USED
$00C079,49273,Get_row_bonus,,USED
$00C5B1,50609,Battle_Row_check,,USED
$00C5BE,50622,LpDetermine_Battle_Rows,,USED
$00C0CB,49355,Damage_Attack_Roll,,USED
$00C08F,49295,Another_total,,USED
$00C0A9,49321,Save_crit_chance,,USED
$00C0B9,49337,Miss_check,,USED
$00AC05,44037,Tbl_AB81,,USED
$00C4CA,50378,Load_Attack_power,"""Attack"" power",USED
$00C658,50776,Get_STR_mod,,USED
$00C66A,50794,Get_END_mod,,USED
$00C6DC,50908,Stat_Dispenser_Fn,,USED
$00C751,51025,Unarmed_power,,USED
$00C781,51073,Get_Armor_Def_Bonus,,USED
$00C7D1,51153,Get_Amulet_Def,,USED
$00A688,42632,Set_Text_Parser_long,,USED
$009527,38183,Event_Code_07,,USED
$05EE37,388663,Names_Agility,,USED
$009008,36872,Main_Lp_PtrSetup,,USED
$00A760,42848,_00A764_far,,USED
$089BA7,564135,Heal1,,USED
$008379,33657,DMA_OAM_xfer,,USED
$00A7B5,42933,Read_TextOpcode,,USED
$00A858,43096,Event_Text_00,,USED
$00A881,43137,Event_Text_01,,USED
$00A898,43160,Event_Text_02,,USED
$00A8A8,43176,Event_Text_03,,USED
$00A8B5,43189,Event_Text_04,,USED
$00A8C2,43202,Event_Text_05,,USED
$00A8DE,43230,Event_Text_06,,USED
$00A8EC,43244,Event_Text_0C,,USED
$00A52A,42282,Event_Text_0C_sub2,,USED
$00A4E2,42210,Event_Text_0C_sub1,,USED
$00BE07,48647,Event_Text_0C_Sub2,,USED
$00AAFC,43772,Event_Text_helper,,USED
$00A902,43266,Event_Text_0D,,USED
$00A6C6,42694,Text_Script_Helper2,,USED
$05EE2A,388650,Names_Endurance,,USED
$05EE1D,388637,Names_Intelligence,,USED
$00A943,43331,Event_Text_10,,USED
$00A969,43369,Event_Text_11,,USED
$00AB2D,43821,Text_Opcode_Helper_Fn3,,USED
$00A9A8,43432,Event_Text_1C,,USED
$00A9BD,43453,Event_Text_1D,,USED
$00A9C5,43461,Event_Text_1E,,USED
$00A9CD,43469,Event_Text_7F,,USED
$00A9E1,43489,Event_Text_1B,,USED
$00A9F7,43511,Event_Text_0F,,USED
$00AA04,43524,Event_Text_08,,USED
$00AA11,43537,Event_Text_Text,,USED
$00A919,43289,Event_Text_14,,USED
$0090E7,37095,Event_Code_00,,USED
$0090FA,37114,Event_Code_01,,USED
$00911E,37150,Event_Code_02,,USED
$009148,37192,Event_Code_03,,USED
$009140,37184,Event_Code_1A,,USED
$00915A,37210,Event_Code_1B,,USED
$009177,37239,Event_Code_1C,,USED
$0095C7,38343,Event_Code_0D,,USED
$0095DF,38367,Event_Code_08,,USED
$00918D,37261,Event_Code_04,,USED
$0091BB,37307,Event_Code_05,,USED
$0091DA,37338,Event_Code_06,,USED
$0091EA,37354,Event_Anim_30_37_1b,,USED
